Year,Population,Yearly Percentage Change,Yearly  Change,Median Age,Fertility Rate,Each Country World Population Share,World Population
2023,172954319,1.03,1767947,27.1,1.94,2.15,8045311447
2022,171186372,1.08,1830121,26.7,1.95,2.15,7975105156
2020,167420951,1.15,1904729,25.9,2.0,2.14,7840952880
2015,157830000,1.24,1887772,24.0,2.11,2.13,7426597537
2010,148391139,1.04,1495710,22.2,2.34,2.12,6985603105
2005,140912590,1.75,2343853,21.0,2.81,2.15,6558176119
2000,129193327,1.86,2279998,19.7,3.22,2.1,6148898975
1995,117793338,1.91,2129137,18.4,3.61,2.05,5743219454
1990,107147651,2.23,2237710,17.2,4.48,2.02,5316175862
1985,95959099,2.72,2405867,16.5,5.54,1.97,4861730613
1980,83929765,2.36,1845884,16.4,6.32,1.89,4444007706
1975,74700345,2.04,1431697,16.1,6.74,1.84,4069437231
1970,67541860,2.92,1808340,16.6,6.88,1.83,3695390336
1965,58500159,3.03,1620746,17.3,6.83,1.75,3337111983
1960,50396429,2.61,1216176,17.8,6.78,1.67,3019233434
1955,44315548,2.21,917403,18.2,6.49,1.61,2746072141
