Year,Population,Yearly Percentage Change,Yearly  Change,Median Age,Fertility Rate,Each Country World Population Share,World Population
2023,277534122,0.74,2032783,29.9,2.13,3.45,8045311447
2022,275501339,0.64,1748148,29.6,2.15,3.45,7975105156
2020,271857970,0.84,2275092,29.3,2.19,3.47,7840952880
2015,259091970,1.21,3015159,28.0,2.35,3.49,7426597537
2010,244016173,1.3,3042206,26.7,2.45,3.49,6985603105
2005,228805144,1.34,2946545,25.3,2.43,3.49,6558176119
2000,214072421,1.56,3186452,23.7,2.54,3.48,6148898975
1995,198140162,1.7,3196058,22.2,2.8,3.45,5743219454
1990,182159874,1.9,3273636,20.7,3.1,3.43,5316175862
1985,165791694,2.27,3522920,19.4,3.71,3.41,4861730613
1980,148177096,2.46,3392776,18.4,4.49,3.330000000000001,4444007706
1975,131213215,2.63,3196964,17.9,5.04,3.22,4069437231
1970,115228394,2.64,2814105,17.9,5.45,3.12,3695390336
1965,101157868,2.74,2554997,18.7,5.62,3.03,3337111983
1960,88382881,2.6,2128276,19.1,5.55,2.93,3019233434
1955,77741502,2.25,1634777,18.8,5.37,2.83,2746072141
